State,Participant Active,Worker Active,Participant Recovered,Date
ACT,37,40,51,2022-02-10
NSW,677,945,1430,2022-02-10
NT,13,49,8,2022-02-10
QLD,220,486,231,2022-02-10
SA,220,386,259,2022-02-10
TAS,33,96,22,2022-02-10
VIC,356,547,1123,2022-02-10
WA,-,-,-,2022-02-10
-,15,20,11,2022-02-10
Total,1572,2572,3137,2022-02-10
"Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).","Note: this table only shows counts greater than 5. *Only registered NDIS providers are required to notify the NDIS Commission for services regulated by the NDIS Commission. Therefore, these figures do not represent all NDIS participants or all people with disability (who may not be NDIS participants).",2022-02-10
