Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Aurukun Shire,0,0,0,0,2,2,2022-01-12
Balonne Shire,0,0,1,0,17,18,2022-01-12
Banana Shire,0,6,0,0,56,62,2022-01-12
Barcaldine Regional,0,0,0,0,10,10,2022-01-12
Blackall Tambo Regional,0,0,0,0,8,8,2022-01-12
Brisbane City,594,395,82,36,30770,31877,2022-01-12
Bulloo Shire,0,0,0,0,1,1,2022-01-12
Bundaberg Regional,19,8,4,0,518,549,2022-01-12
Burdekin Shire,0,0,1,0,58,59,2022-01-12
Cairns Regional,43,324,266,29,3153,3815,2022-01-12
Carpentaria Shire,0,0,0,0,3,3,2022-01-12
Cassowary Coast Regional,3,23,13,2,184,225,2022-01-12
Central Highlands Regional,0,4,5,1,104,114,2022-01-12
Charters Towers Regional,2,1,0,0,7,10,2022-01-12
Cherbourg Aboriginal Shire,0,34,11,0,52,97,2022-01-12
Cloncurry Shire,0,0,0,0,17,17,2022-01-12
Cook Shire,0,8,26,2,102,138,2022-01-12
Diamantina Shire,0,0,0,0,1,1,2022-01-12
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-12
Douglas Shire,2,24,25,3,331,385,2022-01-12
Etheridge Shire,0,0,0,0,1,1,2022-01-12
Flinders Shire,0,0,0,0,3,3,2022-01-12
Fraser Coast Regional,12,6,4,2,708,732,2022-01-12
Gladstone Regional,7,24,12,1,293,337,2022-01-12
Gold Coast City,193,265,321,48,15760,16587,2022-01-12
Goondiwindi Regional,2,8,1,2,103,116,2022-01-12
Gympie Regional,4,14,3,0,283,304,2022-01-12
Hinchinbrook Shire,1,0,0,0,76,77,2022-01-12
Hope Vale Aboriginal Shire,0,0,0,0,1,1,2022-01-12
Interstate/Other,168,52,66,113,4910,5309,2022-01-12
Ipswich City,32,76,33,2,4053,4196,2022-01-12
Isaac Regional,0,3,1,0,175,179,2022-01-12
Kowanyama Aboriginal Shire,0,0,0,0,3,3,2022-01-12
Livingstone Shire,4,24,6,1,166,201,2022-01-12
Lockhart River Aboriginal Shire,0,6,1,0,6,13,2022-01-12
Lockyer Valley Regional,2,9,1,0,293,305,2022-01-12
Logan City,47,37,15,12,7070,7181,2022-01-12
Longreach Regional,0,0,0,0,16,16,2022-01-12
Mackay Regional,22,13,14,2,1148,1199,2022-01-12
Mapoon Aboriginal Shire,0,0,0,0,1,1,2022-01-12
Maranoa Regional,0,4,1,1,73,79,2022-01-12
Mareeba Shire,3,23,3,2,210,241,2022-01-12
McKinlay Shire,0,0,0,0,1,1,2022-01-12
Moreton Bay Regional,119,35,17,4,5393,5568,2022-01-12
Mornington Shire,0,0,0,0,2,2,2022-01-12
Mount Isa City,0,0,0,0,34,34,2022-01-12
Murweh Shire,0,0,2,1,35,38,2022-01-12
Napranum Aboriginal Shire,0,0,1,0,0,1,2022-01-12
Noosa Shire,19,30,20,2,1053,1124,2022-01-12
North Burnett Regional,1,1,0,1,28,31,2022-01-12
Northern Peninsula Area Regional,0,0,2,1,4,7,2022-01-12
Not Supplied,65,72,91,7,10585,10820,2022-01-12
Palm Island Aboriginal Shire,0,0,0,0,23,23,2022-01-12
Paroo Shire,0,1,0,0,6,7,2022-01-12
Quilpie Shire,0,0,0,0,2,2,2022-01-12
Redland City,28,14,5,2,2293,2342,2022-01-12
Richmond Shire,0,0,0,0,1,1,2022-01-12
Rockhampton Regional,21,66,20,3,354,464,2022-01-12
Scenic Rim Regional,4,4,1,0,269,278,2022-01-12
Somerset Regional,3,2,1,1,194,201,2022-01-12
South Burnett Regional,2,26,8,1,218,255,2022-01-12
Southern Downs Regional,2,8,7,3,270,290,2022-01-12
Sunshine Coast Regional,82,74,64,19,4218,4457,2022-01-12
Tablelands Regional,5,14,9,0,178,206,2022-01-12
Toowoomba Regional,42,96,46,18,1363,1565,2022-01-12
Torres Shire,1,3,2,0,21,27,2022-01-12
Torres Strait Island Regional,0,0,0,0,2,2,2022-01-12
Townsville City,31,18,18,6,1292,1365,2022-01-12
Weipa Town,0,1,8,1,16,26,2022-01-12
Western Downs Regional,3,6,2,1,236,248,2022-01-12
Whitsunday Regional,7,12,22,1,747,789,2022-01-12
Winton Shire,0,0,0,0,5,5,2022-01-12
Woorabinda Aboriginal Shire,0,0,0,0,2,2,2022-01-12
Wujal Wujal Aboriginal Shire,0,0,0,0,2,2,2022-01-12
Yarrabah Aboriginal Shire,0,0,0,0,2,2,2022-01-12
Total,1595,1875,1262,331,111829,116892,2022-01-12
