Local Government Area,Total cases,Date
Aurukun Shire,90,2022-03-20
Balonne Shire,139,2022-03-20
Banana Shire,453,2022-03-20
Barcaldine Regional,21,2022-03-20
Barcoo Shire,2,2022-03-20
Blackall Tambo Regional,20,2022-03-20
Boulia Shire,9,2022-03-20
Brisbane City,93285,2022-03-20
Bulloo Shire,6,2022-03-20
Bundaberg Regional,3996,2022-03-20
Burdekin Shire,922,2022-03-20
Burke Shire,4,2022-03-20
Cairns Regional,21586,2022-03-20
Carpentaria Shire,127,2022-03-20
Cassowary Coast Regional,2425,2022-03-20
Central Highlands Regional,1156,2022-03-20
Charters Towers Regional,229,2022-03-20
Cherbourg Aboriginal Shire,209,2022-03-20
Cloncurry Shire,102,2022-03-20
Cook Shire,587,2022-03-20
Croydon Shire,4,2022-03-20
Diamantina Shire,3,2022-03-20
Doomadgee Aboriginal Shire,147,2022-03-20
Douglas Shire,1450,2022-03-20
Etheridge Shire,9,2022-03-20
Flinders Shire,72,2022-03-20
Fraser Coast Regional,4070,2022-03-20
Gladstone Regional,2254,2022-03-20
Gold Coast City,58099,2022-03-20
Goondiwindi Regional,420,2022-03-20
Gympie Regional,1920,2022-03-20
Hinchinbrook Shire,323,2022-03-20
Hope Vale Aboriginal Shire,167,2022-03-20
Interstate/Other,12681,2022-03-20
Ipswich City,19235,2022-03-20
Isaac Regional,722,2022-03-20
Kowanyama Aboriginal Shire,136,2022-03-20
Livingstone Shire,1707,2022-03-20
Lockhart River Aboriginal Shire,102,2022-03-20
Lockyer Valley Regional,1755,2022-03-20
Logan City,27800,2022-03-20
Longreach Regional,35,2022-03-20
Mackay Regional,7217,2022-03-20
Mapoon Aboriginal Shire,52,2022-03-20
Maranoa Regional,497,2022-03-20
Mareeba Shire,2217,2022-03-20
McKinlay Shire,8,2022-03-20
Moreton Bay Regional,31163,2022-03-20
Mornington Shire,118,2022-03-20
Mount Isa City,646,2022-03-20
Murweh Shire,90,2022-03-20
Napranum Aboriginal Shire,228,2022-03-20
Noosa Shire,3697,2022-03-20
North Burnett Regional,273,2022-03-20
Northern Peninsula Area Regional,569,2022-03-20
Not Supplied,289401,2022-03-20
Palm Island Aboriginal Shire,628,2022-03-20
Paroo Shire,39,2022-03-20
Pormpuraaw Aboriginal Shire,180,2022-03-20
Quilpie Shire,13,2022-03-20
Redland City,10367,2022-03-20
Richmond Shire,17,2022-03-20
Rockhampton Regional,4035,2022-03-20
Scenic Rim Regional,1552,2022-03-20
Somerset Regional,1085,2022-03-20
South Burnett Regional,909,2022-03-20
Southern Downs Regional,1389,2022-03-20
Sunshine Coast Regional,23464,2022-03-20
Tablelands Regional,1558,2022-03-20
Toowoomba Regional,5707,2022-03-20
Torres Shire,856,2022-03-20
Torres Strait Island Regional,604,2022-03-20
Townsville City,14493,2022-03-20
Weipa Town,665,2022-03-20
Western Downs Regional,994,2022-03-20
Whitsunday Regional,2191,2022-03-20
Winton Shire,18,2022-03-20
Woorabinda Aboriginal Shire,16,2022-03-20
Wujal Wujal Aboriginal Shire,54,2022-03-20
Yarrabah Aboriginal Shire,693,2022-03-20
Total cases,666182,2022-03-20
