Local Government Area,Total cases,Date
Aurukun Shire,94,2022-04-19
Balonne Shire,164,2022-04-19
Banana Shire,519,2022-04-19
Barcaldine Regional,33,2022-04-19
Barcoo Shire,2,2022-04-19
Blackall Tambo Regional,21,2022-04-19
Boulia Shire,9,2022-04-19
Brisbane City,111340,2022-04-19
Bulloo Shire,7,2022-04-19
Bundaberg Regional,5298,2022-04-19
Burdekin Shire,994,2022-04-19
Burke Shire,8,2022-04-19
Cairns Regional,30771,2022-04-19
Carpentaria Shire,139,2022-04-19
Cassowary Coast Regional,3260,2022-04-19
Central Highlands Regional,1412,2022-04-19
Charters Towers Regional,243,2022-04-19
Cherbourg Aboriginal Shire,237,2022-04-19
Cloncurry Shire,116,2022-04-19
Cook Shire,724,2022-04-19
Croydon Shire,4,2022-04-19
Diamantina Shire,4,2022-04-19
Doomadgee Aboriginal Shire,154,2022-04-19
Douglas Shire,1977,2022-04-19
Etheridge Shire,24,2022-04-19
Flinders Shire,75,2022-04-19
Fraser Coast Regional,6159,2022-04-19
Gladstone Regional,2818,2022-04-19
Gold Coast City,65317,2022-04-19
Goondiwindi Regional,463,2022-04-19
Gympie Regional,2493,2022-04-19
Hinchinbrook Shire,356,2022-04-19
Hope Vale Aboriginal Shire,233,2022-04-19
Interstate/Other,13575,2022-04-19
Ipswich City,23695,2022-04-19
Isaac Regional,810,2022-04-19
Kowanyama Aboriginal Shire,140,2022-04-19
Livingstone Shire,2043,2022-04-19
Lockhart River Aboriginal Shire,108,2022-04-19
Lockyer Valley Regional,2180,2022-04-19
Logan City,31235,2022-04-19
Longreach Regional,45,2022-04-19
Mackay Regional,8623,2022-04-19
Mapoon Aboriginal Shire,56,2022-04-19
Maranoa Regional,598,2022-04-19
Mareeba Shire,2877,2022-04-19
McKinlay Shire,8,2022-04-19
Moreton Bay Regional,38537,2022-04-19
Mornington Shire,124,2022-04-19
Mount Isa City,670,2022-04-19
Murweh Shire,116,2022-04-19
Napranum Aboriginal Shire,236,2022-04-19
Noosa Shire,4237,2022-04-19
North Burnett Regional,367,2022-04-19
Northern Peninsula Area Regional,606,2022-04-19
Not Supplied,459621,2022-04-19
Palm Island Aboriginal Shire,641,2022-04-19
Paroo Shire,53,2022-04-19
Pormpuraaw Aboriginal Shire,186,2022-04-19
Quilpie Shire,15,2022-04-19
Redland City,12325,2022-04-19
Richmond Shire,24,2022-04-19
Rockhampton Regional,4947,2022-04-19
Scenic Rim Regional,1877,2022-04-19
Somerset Regional,1271,2022-04-19
South Burnett Regional,1037,2022-04-19
Southern Downs Regional,1600,2022-04-19
Sunshine Coast Regional,28412,2022-04-19
Tablelands Regional,2593,2022-04-19
Toowoomba Regional,7452,2022-04-19
Torres Shire,1086,2022-04-19
Torres Strait Island Regional,836,2022-04-19
Townsville City,17374,2022-04-19
Weipa Town,862,2022-04-19
Western Downs Regional,1107,2022-04-19
Whitsunday Regional,2308,2022-04-19
Winton Shire,18,2022-04-19
Woorabinda Aboriginal Shire,17,2022-04-19
Wujal Wujal Aboriginal Shire,74,2022-04-19
Yarrabah Aboriginal Shire,730,2022-04-19
Total cases,912820,2022-04-19
