Local Government Area,Total cases,Date
Aurukun Shire,94,2022-04-04
Balonne Shire,149,2022-04-04
Banana Shire,485,2022-04-04
Barcaldine Regional,24,2022-04-04
Barcoo Shire,2,2022-04-04
Blackall Tambo Regional,21,2022-04-04
Boulia Shire,9,2022-04-04
Brisbane City,102770,2022-04-04
Bulloo Shire,7,2022-04-04
Bundaberg Regional,4709,2022-04-04
Burdekin Shire,954,2022-04-04
Burke Shire,5,2022-04-04
Cairns Regional,26178,2022-04-04
Carpentaria Shire,137,2022-04-04
Cassowary Coast Regional,2819,2022-04-04
Central Highlands Regional,1256,2022-04-04
Charters Towers Regional,238,2022-04-04
Cherbourg Aboriginal Shire,221,2022-04-04
Cloncurry Shire,110,2022-04-04
Cook Shire,656,2022-04-04
Croydon Shire,4,2022-04-04
Diamantina Shire,4,2022-04-04
Doomadgee Aboriginal Shire,154,2022-04-04
Douglas Shire,1716,2022-04-04
Etheridge Shire,17,2022-04-04
Flinders Shire,73,2022-04-04
Fraser Coast Regional,5075,2022-04-04
Gladstone Regional,2640,2022-04-04
Gold Coast City,61677,2022-04-04
Goondiwindi Regional,442,2022-04-04
Gympie Regional,2189,2022-04-04
Hinchinbrook Shire,339,2022-04-04
Hope Vale Aboriginal Shire,210,2022-04-04
Interstate/Other,13040,2022-04-04
Ipswich City,21656,2022-04-04
Isaac Regional,769,2022-04-04
Kowanyama Aboriginal Shire,138,2022-04-04
Livingstone Shire,1901,2022-04-04
Lockhart River Aboriginal Shire,103,2022-04-04
Lockyer Valley Regional,1943,2022-04-04
Logan City,29524,2022-04-04
Longreach Regional,36,2022-04-04
Mackay Regional,7847,2022-04-04
Mapoon Aboriginal Shire,54,2022-04-04
Maranoa Regional,548,2022-04-04
Mareeba Shire,2509,2022-04-04
McKinlay Shire,8,2022-04-04
Moreton Bay Regional,35155,2022-04-04
Mornington Shire,118,2022-04-04
Mount Isa City,663,2022-04-04
Murweh Shire,103,2022-04-04
Napranum Aboriginal Shire,233,2022-04-04
Noosa Shire,3971,2022-04-04
North Burnett Regional,314,2022-04-04
Northern Peninsula Area Regional,594,2022-04-04
Not Supplied,377820,2022-04-04
Palm Island Aboriginal Shire,639,2022-04-04
Paroo Shire,45,2022-04-04
Pormpuraaw Aboriginal Shire,182,2022-04-04
Quilpie Shire,14,2022-04-04
Redland City,11334,2022-04-04
Richmond Shire,19,2022-04-04
Rockhampton Regional,4524,2022-04-04
Scenic Rim Regional,1721,2022-04-04
Somerset Regional,1179,2022-04-04
South Burnett Regional,979,2022-04-04
Southern Downs Regional,1491,2022-04-04
Sunshine Coast Regional,26003,2022-04-04
Tablelands Regional,2131,2022-04-04
Toowoomba Regional,6485,2022-04-04
Torres Shire,983,2022-04-04
Torres Strait Island Regional,717,2022-04-04
Townsville City,16144,2022-04-04
Weipa Town,760,2022-04-04
Western Downs Regional,1057,2022-04-04
Whitsunday Regional,2246,2022-04-04
Winton Shire,18,2022-04-04
Woorabinda Aboriginal Shire,17,2022-04-04
Wujal Wujal Aboriginal Shire,60,2022-04-04
Yarrabah Aboriginal Shire,706,2022-04-04
Total cases,793885,2022-04-04
