Local Government Area,Total cases,Date
Aurukun Shire,134,2022-08-06
Balonne Shire,436,2022-08-06
Banana Shire,781,2022-08-06
Barcaldine Regional,152,2022-08-06
Barcoo Shire,4,2022-08-06
Blackall Tambo Regional,81,2022-08-06
Boulia Shire,13,2022-08-06
Brisbane City,163676,2022-08-06
Bulloo Shire,12,2022-08-06
Bundaberg Regional,9942,2022-08-06
Burdekin Shire,1438,2022-08-06
Burke Shire,27,2022-08-06
Cairns Regional,45564,2022-08-06
Carpentaria Shire,169,2022-08-06
Cassowary Coast Regional,5212,2022-08-06
Central Highlands Regional,2116,2022-08-06
Charters Towers Regional,1152,2022-08-06
Cherbourg Aboriginal Shire,348,2022-08-06
Cloncurry Shire,175,2022-08-06
Cook Shire,1102,2022-08-06
Croydon Shire,18,2022-08-06
Diamantina Shire,31,2022-08-06
Doomadgee Aboriginal Shire,170,2022-08-06
Douglas Shire,2827,2022-08-06
Etheridge Shire,62,2022-08-06
Flinders Shire,179,2022-08-06
Fraser Coast Regional,11817,2022-08-06
Gladstone Regional,4747,2022-08-06
Gold Coast City,90078,2022-08-06
Goondiwindi Regional,753,2022-08-06
Gympie Regional,4039,2022-08-06
Hinchinbrook Shire,593,2022-08-06
Hope Vale Aboriginal Shire,322,2022-08-06
Interstate/Other,20567,2022-08-06
Ipswich City,32330,2022-08-06
Isaac Regional,1072,2022-08-06
Kowanyama Aboriginal Shire,193,2022-08-06
Livingstone Shire,2941,2022-08-06
Lockhart River Aboriginal Shire,137,2022-08-06
Lockyer Valley Regional,3100,2022-08-06
Logan City,42443,2022-08-06
Longreach Regional,143,2022-08-06
Mackay Regional,12997,2022-08-06
Mapoon Aboriginal Shire,80,2022-08-06
Maranoa Regional,1142,2022-08-06
Mareeba Shire,4945,2022-08-06
McKinlay Shire,20,2022-08-06
Moreton Bay Regional,58996,2022-08-06
Mornington Shire,132,2022-08-06
Mount Isa City,1930,2022-08-06
Murweh Shire,333,2022-08-06
Napranum Aboriginal Shire,271,2022-08-06
Noosa Shire,6392,2022-08-06
North Burnett Regional,639,2022-08-06
Northern Peninsula Area Regional,767,2022-08-06
Not Supplied,867035,2022-08-06
Palm Island Aboriginal Shire,754,2022-08-06
Paroo Shire,91,2022-08-06
Pormpuraaw Aboriginal Shire,215,2022-08-06
Quilpie Shire,43,2022-08-06
Redland City,18104,2022-08-06
Richmond Shire,53,2022-08-06
Rockhampton Regional,6859,2022-08-06
Scenic Rim Regional,3057,2022-08-06
Somerset Regional,1914,2022-08-06
South Burnett Regional,1637,2022-08-06
Southern Downs Regional,3036,2022-08-06
Sunshine Coast Regional,42093,2022-08-06
Tablelands Regional,4362,2022-08-06
Toowoomba Regional,17784,2022-08-06
Torres Shire,1313,2022-08-06
Torres Strait Island Regional,980,2022-08-06
Townsville City,28507,2022-08-06
Weipa Town,1431,2022-08-06
Western Downs Regional,1640,2022-08-06
Whitsunday Regional,3161,2022-08-06
Winton Shire,44,2022-08-06
Woorabinda Aboriginal Shire,331,2022-08-06
Wujal Wujal Aboriginal Shire,106,2022-08-06
Yarrabah Aboriginal Shire,933,2022-08-06
Total cases,1545223,2022-08-06
