Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,0,0,2,2,2022-01-02
Banana Shire,0,2,0,0,1,3,2022-01-02
Brisbane City,594,377,72,36,4176,5255,2022-01-02
Bundaberg Regional,18,7,3,0,183,211,2022-01-02
Burdekin Shire,0,0,0,0,1,1,2022-01-02
Cairns Regional,43,38,22,7,97,207,2022-01-02
Cassowary Coast Regional,3,2,1,2,0,8,2022-01-02
Central Highlands Regional,0,3,1,1,6,11,2022-01-02
Charters Towers Regional,2,1,0,0,0,3,2022-01-02
Cherbourg Aboriginal Shire,0,0,2,0,19,21,2022-01-02
Cloncurry Shire,0,0,0,0,1,1,2022-01-02
Cook Shire,0,0,0,1,0,1,2022-01-02
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-02
Douglas Shire,2,2,8,0,25,37,2022-01-02
Fraser Coast Regional,12,3,3,2,71,91,2022-01-02
Gladstone Regional,7,12,3,1,23,46,2022-01-02
Gold Coast City,193,247,246,46,1700,2432,2022-01-02
Goondiwindi Regional,2,8,0,2,4,16,2022-01-02
Gympie Regional,4,10,3,0,26,43,2022-01-02
Hinchinbrook Shire,1,0,0,0,11,12,2022-01-02
Interstate/Other,167,29,21,86,925,1228,2022-01-02
Ipswich City,32,72,33,2,564,703,2022-01-02
Isaac Regional,0,3,0,0,8,11,2022-01-02
Livingstone Shire,2,12,3,1,9,27,2022-01-02
Lockyer Valley Regional,2,8,1,0,40,51,2022-01-02
Logan City,47,37,13,12,1112,1221,2022-01-02
Longreach Regional,0,0,0,0,1,1,2022-01-02
Mackay Regional,22,10,4,1,55,92,2022-01-02
Maranoa Regional,0,1,0,1,5,7,2022-01-02
Mareeba Shire,3,11,0,2,10,26,2022-01-02
McKinlay Shire,0,0,0,0,1,1,2022-01-02
Moreton Bay Regional,119,33,13,4,632,801,2022-01-02
Mount Isa City,0,0,0,0,4,4,2022-01-02
Murweh Shire,0,0,0,1,1,2,2022-01-02
Noosa Shire,19,26,15,2,222,284,2022-01-02
North Burnett Regional,1,1,0,1,6,9,2022-01-02
Not Supplied,65,46,41,5,1201,1358,2022-01-02
Paroo Shire,0,1,0,0,3,4,2022-01-02
Redland City,28,14,5,2,318,367,2022-01-02
Rockhampton Regional,21,22,2,1,20,66,2022-01-02
Scenic Rim Regional,4,4,1,0,35,44,2022-01-02
Somerset Regional,3,2,1,1,13,20,2022-01-02
South Burnett Regional,2,1,0,1,17,21,2022-01-02
Southern Downs Regional,2,4,2,3,27,38,2022-01-02
Sunshine Coast Regional,82,63,28,18,408,599,2022-01-02
Tablelands Regional,5,1,0,0,9,15,2022-01-02
Toowoomba Regional,42,61,12,10,271,396,2022-01-02
Torres Shire,1,0,0,0,12,13,2022-01-02
Townsville City,31,11,5,4,93,144,2022-01-02
Weipa Town,0,0,0,0,1,1,2022-01-02
Western Downs Regional,3,3,1,1,22,30,2022-01-02
Whitsunday Regional,7,4,8,0,119,138,2022-01-02
Total,1591,1193,573,257,12511,16125,2022-01-02
