Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,1,0,11,12,2022-01-10
Banana Shire,0,6,0,0,41,47,2022-01-10
Barcaldine Regional,0,0,0,0,8,8,2022-01-10
Blackall Tambo Regional,0,0,0,0,6,6,2022-01-10
Brisbane City,594,394,82,36,24398,25504,2022-01-10
Bulloo Shire,0,0,0,0,1,1,2022-01-10
Bundaberg Regional,19,8,4,0,487,518,2022-01-10
Burdekin Shire,0,0,1,0,52,53,2022-01-10
Cairns Regional,43,295,231,29,2610,3208,2022-01-10
Carpentaria Shire,0,0,0,0,3,3,2022-01-10
Cassowary Coast Regional,3,19,11,2,105,140,2022-01-10
Central Highlands Regional,0,4,5,1,86,96,2022-01-10
Charters Towers Regional,2,1,0,0,7,10,2022-01-10
Cherbourg Aboriginal Shire,0,34,11,0,51,96,2022-01-10
Cloncurry Shire,0,0,0,0,13,13,2022-01-10
Cook Shire,0,6,25,2,76,109,2022-01-10
Diamantina Shire,0,0,0,0,1,1,2022-01-10
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-10
Douglas Shire,2,24,25,3,244,298,2022-01-10
Etheridge Shire,0,0,0,0,1,1,2022-01-10
Flinders Shire,0,0,0,0,2,2,2022-01-10
Fraser Coast Regional,12,6,4,2,552,576,2022-01-10
Gladstone Regional,7,22,12,1,267,309,2022-01-10
Gold Coast City,193,260,295,48,11645,12441,2022-01-10
Goondiwindi Regional,2,8,1,2,48,61,2022-01-10
Gympie Regional,4,14,3,0,222,243,2022-01-10
Hinchinbrook Shire,1,0,0,0,65,66,2022-01-10
Hope Vale Aboriginal Shire,0,0,0,0,1,1,2022-01-10
Interstate/Other,168,51,66,113,4065,4463,2022-01-10
Ipswich City,32,75,33,2,3200,3342,2022-01-10
Isaac Regional,0,3,1,0,148,152,2022-01-10
Kowanyama Aboriginal Shire,0,0,0,0,3,3,2022-01-10
Livingstone Shire,3,21,6,1,124,155,2022-01-10
Lockhart River Aboriginal Shire,0,0,0,0,2,2,2022-01-10
Lockyer Valley Regional,2,9,1,0,228,240,2022-01-10
Logan City,47,37,15,12,5527,5638,2022-01-10
Longreach Regional,0,0,0,0,14,14,2022-01-10
Mackay Regional,22,13,13,2,920,970,2022-01-10
Mapoon Aboriginal Shire,0,0,0,0,1,1,2022-01-10
Maranoa Regional,0,3,0,1,67,71,2022-01-10
Mareeba Shire,3,22,3,2,115,145,2022-01-10
Moreton Bay Regional,119,35,17,4,3601,3776,2022-01-10
Mornington Shire,0,0,0,0,2,2,2022-01-10
Mount Isa City,0,0,0,0,25,25,2022-01-10
Murweh Shire,0,0,1,1,30,32,2022-01-10
Napranum Aboriginal Shire,0,0,1,0,0,1,2022-01-10
Noosa Shire,19,30,20,2,880,951,2022-01-10
North Burnett Regional,1,1,0,1,24,27,2022-01-10
Northern Peninsula Area Regional,0,0,2,1,4,7,2022-01-10
Not Supplied,65,69,84,6,7976,8200,2022-01-10
Palm Island Aboriginal Shire,0,0,0,0,21,21,2022-01-10
Paroo Shire,0,1,0,0,6,7,2022-01-10
Quilpie Shire,0,0,0,0,2,2,2022-01-10
Redland City,28,14,5,2,1830,1879,2022-01-10
Richmond Shire,0,0,0,0,1,1,2022-01-10
Rockhampton Regional,21,62,20,3,274,380,2022-01-10
Scenic Rim Regional,4,4,1,0,208,217,2022-01-10
Somerset Regional,3,2,1,1,153,160,2022-01-10
South Burnett Regional,2,23,8,1,205,239,2022-01-10
Southern Downs Regional,2,7,4,3,193,209,2022-01-10
Sunshine Coast Regional,82,74,62,19,3482,3719,2022-01-10
Tablelands Regional,5,13,7,0,136,161,2022-01-10
Toowoomba Regional,42,88,36,18,1131,1315,2022-01-10
Torres Shire,1,3,2,0,19,25,2022-01-10
Torres Strait Island Regional,0,0,0,0,2,2,2022-01-10
Townsville City,31,18,18,6,1054,1127,2022-01-10
Weipa Town,0,1,10,1,17,29,2022-01-10
Western Downs Regional,3,5,1,1,193,203,2022-01-10
Whitsunday Regional,7,12,21,1,651,692,2022-01-10
Winton Shire,0,0,0,0,5,5,2022-01-10
Woorabinda Aboriginal Shire,0,0,0,0,2,2,2022-01-10
Wujal Wujal Aboriginal Shire,0,0,0,0,1,1,2022-01-10
Yarrabah Aboriginal Shire,0,0,0,0,2,2,2022-01-10
Total,1594,1798,1170,330,77548,82440,2022-01-10
