Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Aurukun Shire,0,0,0,0,2,2,2022-01-13
Balonne Shire,0,0,1,0,21,22,2022-01-13
Banana Shire,0,6,0,0,63,69,2022-01-13
Barcaldine Regional,0,0,0,0,10,10,2022-01-13
Barcoo Shire,0,0,0,0,1,1,2022-01-13
Blackall Tambo Regional,0,0,0,0,11,11,2022-01-13
Brisbane City,594,396,84,36,34475,35585,2022-01-13
Bulloo Shire,0,0,0,0,1,1,2022-01-13
Bundaberg Regional,19,8,4,0,617,648,2022-01-13
Burdekin Shire,0,0,1,0,70,71,2022-01-13
Burke Shire,0,0,0,0,3,3,2022-01-13
Cairns Regional,43,331,284,29,4424,5111,2022-01-13
Carpentaria Shire,0,0,0,0,3,3,2022-01-13
Cassowary Coast Regional,3,24,14,2,233,276,2022-01-13
Central Highlands Regional,0,4,6,1,147,158,2022-01-13
Charters Towers Regional,2,1,0,0,12,15,2022-01-13
Cherbourg Aboriginal Shire,0,35,12,0,53,100,2022-01-13
Cloncurry Shire,0,0,0,0,18,18,2022-01-13
Cook Shire,0,12,27,2,111,152,2022-01-13
Croydon Shire,0,0,0,0,1,1,2022-01-13
Diamantina Shire,0,0,0,0,1,1,2022-01-13
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-13
Douglas Shire,2,25,27,3,406,463,2022-01-13
Etheridge Shire,0,0,0,0,1,1,2022-01-13
Flinders Shire,0,0,0,0,6,6,2022-01-13
Fraser Coast Regional,12,6,5,2,862,887,2022-01-13
Gladstone Regional,7,24,13,1,340,385,2022-01-13
Gold Coast City,193,267,338,48,18722,19568,2022-01-13
Goondiwindi Regional,2,8,2,2,120,134,2022-01-13
Gympie Regional,4,14,3,0,334,355,2022-01-13
Hinchinbrook Shire,1,0,0,0,82,83,2022-01-13
Hope Vale Aboriginal Shire,0,0,0,0,2,2,2022-01-13
Interstate/Other,168,53,66,113,6052,6452,2022-01-13
Ipswich City,32,76,33,2,4871,5014,2022-01-13
Isaac Regional,0,3,1,0,195,199,2022-01-13
Kowanyama Aboriginal Shire,0,0,0,0,4,4,2022-01-13
Livingstone Shire,4,24,6,1,206,241,2022-01-13
Lockhart River Aboriginal Shire,0,6,1,0,10,17,2022-01-13
Lockyer Valley Regional,2,9,1,0,366,378,2022-01-13
Logan City,47,37,16,12,8344,8456,2022-01-13
Longreach Regional,0,0,0,0,17,17,2022-01-13
Mackay Regional,22,13,14,2,1495,1546,2022-01-13
Mapoon Aboriginal Shire,0,0,0,0,1,1,2022-01-13
Maranoa Regional,0,4,1,1,95,101,2022-01-13
Mareeba Shire,3,26,8,2,248,287,2022-01-13
McKinlay Shire,0,0,0,0,1,1,2022-01-13
Moreton Bay Regional,119,35,17,4,6024,6199,2022-01-13
Mornington Shire,0,0,0,0,2,2,2022-01-13
Mount Isa City,0,0,0,0,39,39,2022-01-13
Murweh Shire,0,0,2,1,41,44,2022-01-13
Napranum Aboriginal Shire,0,0,1,0,2,3,2022-01-13
Noosa Shire,19,30,20,2,1286,1357,2022-01-13
North Burnett Regional,1,1,0,1,28,31,2022-01-13
Northern Peninsula Area Regional,0,0,2,1,4,7,2022-01-13
Not Supplied,65,76,92,8,12129,12370,2022-01-13
Palm Island Aboriginal Shire,0,0,0,0,23,23,2022-01-13
Paroo Shire,0,1,0,0,8,9,2022-01-13
Quilpie Shire,0,0,0,0,2,2,2022-01-13
Redland City,28,14,5,2,2699,2748,2022-01-13
Richmond Shire,0,0,0,0,1,1,2022-01-13
Rockhampton Regional,21,66,21,3,409,520,2022-01-13
Scenic Rim Regional,4,4,1,0,327,336,2022-01-13
Somerset Regional,3,2,1,1,224,231,2022-01-13
South Burnett Regional,2,26,10,1,234,273,2022-01-13
Southern Downs Regional,2,10,8,3,378,401,2022-01-13
Sunshine Coast Regional,82,74,65,19,5765,6005,2022-01-13
Tablelands Regional,5,16,12,0,241,274,2022-01-13
Toowoomba Regional,42,99,47,18,1664,1870,2022-01-13
Torres Shire,1,6,2,0,26,35,2022-01-13
Torres Strait Island Regional,0,0,0,0,2,2,2022-01-13
Townsville City,31,18,18,6,1739,1812,2022-01-13
Weipa Town,0,2,10,1,15,28,2022-01-13
Western Downs Regional,3,9,3,1,285,301,2022-01-13
Whitsunday Regional,7,13,26,1,892,939,2022-01-13
Winton Shire,0,0,0,0,5,5,2022-01-13
Woorabinda Aboriginal Shire,0,0,0,0,2,2,2022-01-13
Wujal Wujal Aboriginal Shire,0,2,0,0,2,4,2022-01-13
Yarrabah Aboriginal Shire,0,0,1,0,3,4,2022-01-13
Total,1595,1917,1332,332,117559,122735,2022-01-13
