Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,1,0,15,16,2022-01-11
Banana Shire,0,6,0,0,46,52,2022-01-11
Barcaldine Regional,0,0,0,0,9,9,2022-01-11
Blackall Tambo Regional,0,0,0,0,8,8,2022-01-11
Brisbane City,594,394,81,36,25897,27002,2022-01-11
Bulloo Shire,0,0,0,0,1,1,2022-01-11
Bundaberg Regional,19,8,4,0,498,529,2022-01-11
Burdekin Shire,0,0,1,0,53,54,2022-01-11
Cairns Regional,43,298,237,29,2923,3530,2022-01-11
Carpentaria Shire,0,0,0,0,3,3,2022-01-11
Cassowary Coast Regional,3,20,11,2,147,183,2022-01-11
Central Highlands Regional,0,4,5,1,89,99,2022-01-11
Charters Towers Regional,2,1,0,0,7,10,2022-01-11
Cherbourg Aboriginal Shire,0,34,11,0,52,97,2022-01-11
Cloncurry Shire,0,0,0,0,15,15,2022-01-11
Cook Shire,0,7,25,2,99,133,2022-01-11
Diamantina Shire,0,0,0,0,1,1,2022-01-11
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-11
Douglas Shire,2,24,25,3,275,329,2022-01-11
Etheridge Shire,0,0,0,0,1,1,2022-01-11
Flinders Shire,0,0,0,0,2,2,2022-01-11
Fraser Coast Regional,12,6,4,2,599,623,2022-01-11
Gladstone Regional,7,24,12,1,269,313,2022-01-11
Gold Coast City,193,265,309,48,12516,13331,2022-01-11
Goondiwindi Regional,2,8,1,2,50,63,2022-01-11
Gympie Regional,4,14,3,0,249,270,2022-01-11
Hinchinbrook Shire,1,0,0,0,66,67,2022-01-11
Hope Vale Aboriginal Shire,0,0,0,0,1,1,2022-01-11
Interstate/Other,168,52,66,113,4450,4849,2022-01-11
Ipswich City,32,76,33,2,3467,3610,2022-01-11
Isaac Regional,0,3,1,0,156,160,2022-01-11
Kowanyama Aboriginal Shire,0,0,0,0,3,3,2022-01-11
Livingstone Shire,4,24,6,1,132,167,2022-01-11
Lockhart River Aboriginal Shire,0,4,0,0,3,7,2022-01-11
Lockyer Valley Regional,2,9,1,0,255,267,2022-01-11
Logan City,47,37,15,12,6008,6119,2022-01-11
Longreach Regional,0,0,0,0,14,14,2022-01-11
Mackay Regional,22,13,13,2,978,1028,2022-01-11
Mapoon Aboriginal Shire,0,0,0,0,1,1,2022-01-11
Maranoa Regional,0,3,0,1,74,78,2022-01-11
Mareeba Shire,3,23,3,2,133,164,2022-01-11
Moreton Bay Regional,119,35,17,4,3855,4030,2022-01-11
Mornington Shire,0,0,0,0,2,2,2022-01-11
Mount Isa City,0,0,0,0,31,31,2022-01-11
Murweh Shire,0,0,1,1,30,32,2022-01-11
Napranum Aboriginal Shire,0,0,1,0,0,1,2022-01-11
Noosa Shire,19,30,20,2,925,996,2022-01-11
North Burnett Regional,1,1,0,1,26,29,2022-01-11
Northern Peninsula Area Regional,0,0,2,1,4,7,2022-01-11
Not Supplied,65,72,86,6,8487,8716,2022-01-11
Palm Island Aboriginal Shire,0,0,0,0,23,23,2022-01-11
Paroo Shire,0,1,0,0,6,7,2022-01-11
Quilpie Shire,0,0,0,0,2,2,2022-01-11
Redland City,28,14,5,2,2037,2086,2022-01-11
Richmond Shire,0,0,0,0,1,1,2022-01-11
Rockhampton Regional,21,66,20,3,286,396,2022-01-11
Scenic Rim Regional,4,4,1,0,222,231,2022-01-11
Somerset Regional,3,2,1,1,171,178,2022-01-11
South Burnett Regional,2,24,8,1,215,250,2022-01-11
Southern Downs Regional,2,7,5,3,247,264,2022-01-11
Sunshine Coast Regional,82,74,62,19,3733,3970,2022-01-11
Tablelands Regional,5,13,7,0,148,173,2022-01-11
Toowoomba Regional,42,91,40,18,1214,1405,2022-01-11
Torres Shire,1,3,2,0,19,25,2022-01-11
Torres Strait Island Regional,0,0,0,0,2,2,2022-01-11
Townsville City,31,18,18,6,1180,1253,2022-01-11
Weipa Town,0,1,10,1,19,31,2022-01-11
Western Downs Regional,3,5,1,1,206,216,2022-01-11
Whitsunday Regional,7,12,21,1,673,714,2022-01-11
Winton Shire,0,0,0,0,5,5,2022-01-11
Woorabinda Aboriginal Shire,0,0,0,0,2,2,2022-01-11
Wujal Wujal Aboriginal Shire,0,0,0,0,1,1,2022-01-11
Yarrabah Aboriginal Shire,0,0,0,0,2,2,2022-01-11
Total,1595,1831,1196,330,83340,88292,2022-01-11
