Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,0,0,4,4,2022-01-07
Banana Shire,0,4,0,0,13,17,2022-01-07
Barcaldine Regional,0,0,0,0,1,1,2022-01-07
Blackall Tambo Regional,0,0,0,0,2,2,2022-01-07
Brisbane City,594,391,81,36,14164,15266,2022-01-07
Bundaberg Regional,19,8,4,0,330,361,2022-01-07
Burdekin Shire,0,0,0,0,17,17,2022-01-07
Cairns Regional,43,163,135,19,763,1123,2022-01-07
Cassowary Coast Regional,3,11,6,2,33,55,2022-01-07
Central Highlands Regional,0,4,2,1,20,27,2022-01-07
Charters Towers Regional,2,1,0,0,3,6,2022-01-07
Cherbourg Aboriginal Shire,0,25,11,0,38,74,2022-01-07
Cloncurry Shire,0,0,0,0,1,1,2022-01-07
Cook Shire,0,2,11,2,27,42,2022-01-07
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-07
Douglas Shire,2,21,24,3,53,103,2022-01-07
Flinders Shire,0,0,0,0,2,2,2022-01-07
Fraser Coast Regional,12,5,4,2,316,339,2022-01-07
Gladstone Regional,7,21,8,1,115,152,2022-01-07
Gold Coast City,193,253,261,48,6288,7043,2022-01-07
Goondiwindi Regional,2,8,0,2,15,27,2022-01-07
Gympie Regional,4,11,3,0,126,144,2022-01-07
Hinchinbrook Shire,1,0,0,0,40,41,2022-01-07
Hope Vale Aboriginal Shire,0,0,0,0,1,1,2022-01-07
Interstate/Other,168,40,50,111,2244,2613,2022-01-07
Ipswich City,32,75,33,2,1928,2070,2022-01-07
Isaac Regional,0,3,0,0,52,55,2022-01-07
Livingstone Shire,3,17,5,1,66,92,2022-01-07
Lockhart River Aboriginal Shire,0,0,0,0,1,1,2022-01-07
Lockyer Valley Regional,2,9,1,0,137,149,2022-01-07
Logan City,47,37,15,12,3188,3299,2022-01-07
Longreach Regional,0,0,0,0,5,5,2022-01-07
Mackay Regional,22,12,5,2,454,495,2022-01-07
Maranoa Regional,0,1,0,1,16,18,2022-01-07
Mareeba Shire,3,18,2,2,23,48,2022-01-07
McKinlay Shire,0,0,0,0,1,1,2022-01-07
Moreton Bay Regional,119,34,15,4,1922,2094,2022-01-07
Mornington Shire,0,0,0,0,2,2,2022-01-07
Mount Isa City,0,0,0,0,12,12,2022-01-07
Murweh Shire,0,0,0,1,6,7,2022-01-07
Napranum Aboriginal Shire,0,0,1,0,0,1,2022-01-07
Noosa Shire,19,30,20,2,532,603,2022-01-07
North Burnett Regional,1,1,0,1,14,17,2022-01-07
Northern Peninsula Area Regional,0,0,2,0,4,6,2022-01-07
Not Supplied,65,63,69,5,4632,4834,2022-01-07
Palm Island Aboriginal Shire,0,0,0,0,6,6,2022-01-07
Paroo Shire,0,1,0,0,4,5,2022-01-07
Quilpie Shire,0,0,0,0,1,1,2022-01-07
Redland City,28,14,5,2,792,841,2022-01-07
Rockhampton Regional,21,60,14,3,145,243,2022-01-07
Scenic Rim Regional,4,4,1,0,103,112,2022-01-07
Somerset Regional,3,2,1,1,57,64,2022-01-07
South Burnett Regional,2,7,2,1,123,135,2022-01-07
Southern Downs Regional,2,5,2,3,89,101,2022-01-07
Sunshine Coast Regional,82,72,48,19,1847,2068,2022-01-07
Tablelands Regional,5,9,2,0,23,39,2022-01-07
Toowoomba Regional,42,78,23,18,680,841,2022-01-07
Torres Shire,1,0,2,0,16,19,2022-01-07
Townsville City,31,14,13,4,456,518,2022-01-07
Weipa Town,0,1,7,0,14,22,2022-01-07
Western Downs Regional,3,3,1,1,81,89,2022-01-07
Whitsunday Regional,7,12,15,1,318,353,2022-01-07
Woorabinda Aboriginal Shire,0,0,0,0,1,1,2022-01-07
Wujal Wujal Aboriginal Shire,0,0,0,0,1,1,2022-01-07
Total,1594,1551,904,313,42369,46731,2022-01-07
