Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,0,0,7,7,2022-01-08
Banana Shire,0,4,0,0,24,28,2022-01-08
Barcaldine Regional,0,0,0,0,3,3,2022-01-08
Blackall Tambo Regional,0,0,0,0,2,2,2022-01-08
Brisbane City,594,394,81,36,17473,18578,2022-01-08
Bundaberg Regional,19,8,4,0,378,409,2022-01-08
Burdekin Shire,0,0,0,0,24,24,2022-01-08
Cairns Regional,43,211,173,24,1140,1591,2022-01-08
Carpentaria Shire,0,0,0,0,2,2,2022-01-08
Cassowary Coast Regional,3,13,9,2,38,65,2022-01-08
Central Highlands Regional,0,4,3,1,54,62,2022-01-08
Charters Towers Regional,2,1,0,0,5,8,2022-01-08
Cherbourg Aboriginal Shire,0,25,11,0,53,89,2022-01-08
Cloncurry Shire,0,0,0,0,1,1,2022-01-08
Cook Shire,0,2,17,2,34,55,2022-01-08
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-08
Douglas Shire,2,22,24,3,65,116,2022-01-08
Etheridge Shire,0,0,0,0,1,1,2022-01-08
Flinders Shire,0,0,0,0,2,2,2022-01-08
Fraser Coast Regional,12,6,4,2,368,392,2022-01-08
Gladstone Regional,7,21,9,1,187,225,2022-01-08
Gold Coast City,193,255,264,48,8000,8760,2022-01-08
Goondiwindi Regional,2,8,1,2,32,45,2022-01-08
Gympie Regional,4,12,3,0,150,169,2022-01-08
Hinchinbrook Shire,1,0,0,0,43,44,2022-01-08
Hope Vale Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Interstate/Other,168,42,54,111,2679,3054,2022-01-08
Ipswich City,32,75,33,2,2371,2513,2022-01-08
Isaac Regional,0,3,0,0,75,78,2022-01-08
Kowanyama Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Livingstone Shire,3,17,5,1,87,113,2022-01-08
Lockhart River Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Lockyer Valley Regional,2,9,1,0,153,165,2022-01-08
Logan City,47,37,15,12,3886,3997,2022-01-08
Longreach Regional,0,0,0,0,6,6,2022-01-08
Mackay Regional,22,13,7,2,537,581,2022-01-08
Maranoa Regional,0,3,0,1,21,25,2022-01-08
Mareeba Shire,3,21,2,2,28,56,2022-01-08
Moreton Bay Regional,119,34,16,4,2545,2718,2022-01-08
Mornington Shire,0,0,0,0,2,2,2022-01-08
Mount Isa City,0,0,0,0,15,15,2022-01-08
Murweh Shire,0,0,0,1,8,9,2022-01-08
Napranum Aboriginal Shire,0,0,1,0,0,1,2022-01-08
Noosa Shire,19,30,20,2,668,739,2022-01-08
North Burnett Regional,1,1,0,1,18,21,2022-01-08
Northern Peninsula Area Regional,0,0,2,1,4,7,2022-01-08
Not Supplied,65,60,74,6,5954,6159,2022-01-08
Palm Island Aboriginal Shire,0,0,0,0,8,8,2022-01-08
Paroo Shire,0,1,0,0,4,5,2022-01-08
Quilpie Shire,0,0,0,0,2,2,2022-01-08
Redland City,28,14,5,2,1027,1076,2022-01-08
Rockhampton Regional,21,60,14,3,184,282,2022-01-08
Scenic Rim Regional,4,4,1,0,144,153,2022-01-08
Somerset Regional,3,2,1,1,97,104,2022-01-08
South Burnett Regional,2,19,8,1,158,188,2022-01-08
Southern Downs Regional,2,5,4,3,91,105,2022-01-08
Sunshine Coast Regional,82,72,53,19,2274,2500,2022-01-08
Tablelands Regional,5,11,4,0,49,69,2022-01-08
Toowoomba Regional,42,81,29,18,770,940,2022-01-08
Torres Shire,1,0,2,0,18,21,2022-01-08
Townsville City,31,14,15,4,608,672,2022-01-08
Weipa Town,0,1,9,1,14,25,2022-01-08
Western Downs Regional,3,4,1,1,105,114,2022-01-08
Whitsunday Regional,7,12,19,1,430,469,2022-01-08
Woorabinda Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Wujal Wujal Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Total,1594,1632,998,321,53132,57677,2022-01-08
