Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Banana Shire,0,2,0,0,1,3,2021-12-31
Brisbane City,594,368,69,36,2497,3564,2021-12-31
Bundaberg Regional,18,6,3,0,146,173,2021-12-31
Burdekin Shire,0,0,0,0,1,1,2021-12-31
Cairns Regional,43,26,12,4,48,133,2021-12-31
Cassowary Coast Regional,3,1,1,2,1,8,2021-12-31
Central Highlands Regional,0,2,1,1,6,10,2021-12-31
Charters Towers Regional,2,1,0,0,0,3,2021-12-31
Cherbourg Aboriginal Shire,0,0,0,0,3,3,2021-12-31
Cook Shire,0,0,0,1,0,1,2021-12-31
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2021-12-31
Douglas Shire,2,2,0,0,9,13,2021-12-31
Fraser Coast Regional,12,3,2,2,28,47,2021-12-31
Gladstone Regional,7,8,2,1,16,34,2021-12-31
Gold Coast City,192,196,154,42,915,1499,2021-12-31
Goondiwindi Regional,2,8,0,2,4,16,2021-12-31
Gympie Regional,4,6,3,0,13,26,2021-12-31
Hinchinbrook Shire,1,0,0,0,2,3,2021-12-31
Interstate/Other,166,25,15,74,630,910,2021-12-31
Ipswich City,32,50,13,2,359,456,2021-12-31
Isaac Regional,0,3,0,0,4,7,2021-12-31
Livingstone Shire,2,10,3,1,8,24,2021-12-31
Lockyer Valley Regional,2,8,1,0,16,27,2021-12-31
Logan City,47,37,12,12,619,727,2021-12-31
Longreach Regional,0,0,0,0,1,1,2021-12-31
Mackay Regional,22,7,0,1,28,58,2021-12-31
Maranoa Regional,0,1,0,1,1,3,2021-12-31
Mareeba Shire,3,10,0,2,9,24,2021-12-31
McKinlay Shire,0,0,0,0,1,1,2021-12-31
Moreton Bay Regional,119,33,13,4,336,505,2021-12-31
Mount Isa City,0,0,0,0,3,3,2021-12-31
Murweh Shire,0,0,0,1,1,2,2021-12-31
Noosa Shire,19,26,10,2,136,193,2021-12-31
North Burnett Regional,1,1,0,1,2,5,2021-12-31
Not Supplied,66,33,23,2,786,910,2021-12-31
Paroo Shire,0,0,0,0,3,3,2021-12-31
Redland City,28,12,5,2,174,221,2021-12-31
Rockhampton Regional,21,10,2,1,23,57,2021-12-31
Scenic Rim Regional,4,4,1,0,16,25,2021-12-31
Somerset Regional,3,2,1,1,8,15,2021-12-31
South Burnett Regional,2,1,0,1,1,5,2021-12-31
Southern Downs Regional,2,3,0,3,21,29,2021-12-31
Sunshine Coast Regional,82,54,22,18,274,450,2021-12-31
Tablelands Regional,5,1,0,0,2,8,2021-12-31
Toowoomba Regional,41,58,8,9,196,312,2021-12-31
Torres Shire,1,0,0,0,11,12,2021-12-31
Townsville City,31,4,3,4,72,114,2021-12-31
Weipa Town,0,0,0,0,1,1,2021-12-31
Western Downs Regional,3,2,1,0,12,18,2021-12-31
Whitsunday Regional,7,4,5,0,71,87,2021-12-31
Total,1589,1029,385,233,7516,10752,2021-12-31
